Method;LOC;CC;NP;NV;NEST;Ca;Ce;NChg;NCall
ShareX.HelpersLib.NumberExtensions.ToSizeString(Int64,Boolean,Int32);6.0;3.0;3;6.0;1.0;10;2;1.0;49.0
ShareX.HelpersLib.NumberExtensions.ToDecimalString(Double,Int32);4.0;2.0;2;3.0;1.0;1;0;1.0;49.0
ShareX.HelpersLib.NumberExtensions.ToBase(Int32,Int32,String);12.0;5.0;3;8.0;1.0;3;0;2.0;0.0
ShareX.HelpersLib.NumberExtensions.IsEvenNumber(Int32);1.0;1.0;1;1.0;0.0;6;0;1.0;0.0
ShareX.HelpersLib.NumberExtensions.NumberExtensions();2.0;1.0;0;0.0;0.0;0;0;1.0;2.0
ShareX.HelpersLib.FontSafe.FontSafe();1.0;1.0;0;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.FontSafe.FontSafe(Font);2.0;1.0;1;0.0;0.0;0;1;1.0;0.0
ShareX.HelpersLib.FontSafe.SetFont(Font);1.0;1.0;1;0.0;0.0;2;1;1.0;78.0
ShareX.HelpersLib.FontSafe.GetFont();3.0;2.0;0;2.0;1.0;1;1;1.0;220.0
ShareX.HelpersLib.OutputBox.OutputBox(String,String);6.0;1.0;2;0.0;0.0;1;2;4.0;0.0
ShareX.HelpersLib.OutputBox.OutputBox_Shown(Object,EventArgs);2.0;1.0;2;0.0;0.0;1;0;1.0;0.0
ShareX.HelpersLib.OutputBox.txtText_KeyUp(Object,KeyEventArgs);2.0;3.0;2;1.0;1.0;1;0;1.0;0.0
ShareX.HelpersLib.OutputBox.Dispose(Boolean);3.0;3.0;1;1.0;1.0;0;0;1.0;0.0
ShareX.HelpersLib.OutputBox.InitializeComponent();27.0;1.0;0;0.0;0.0;1;2;3.0;0.0
